Skeleton 0
     0.00000      0.00000      0.00000
     309.177      263.363      2286.72
     503.317      154.236      2353.98
     0.00000      0.00000      0.00000
     541.495      330.871      2151.93
     0.00000      0.00000      0.00000
     21.7388     -102.688      2470.51
     50.6808     -498.658      2640.13
     0.00000      0.00000      0.00000
     56.6452     -852.853      2738.99
     220.325     -118.545      2475.26
     268.831     -519.566      2627.68
     0.00000      0.00000      0.00000
     282.744     -859.334      2748.31
Skeleton 0
     0.00000      0.00000 2.12278e-314
     176.220      461.979      2189.46
     156.068      275.028      2282.75
     138.321      81.8572      2377.48
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     3.30583      287.104      2278.75
    -217.852      177.896      2341.54
     0.00000      0.00000      0.00000
    -235.574      362.237      2139.25
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     308.830      262.952      2286.74
     503.159      154.617      2352.49
     0.00000      0.00000      0.00000
     540.204      330.176      2150.31
     0.00000      0.00000      0.00000
     21.2786     -103.465      2469.63
     49.3679     -500.638      2636.57
     0.00000      0.00000      0.00000
     58.3682     -852.101      2739.43
     219.867     -119.163      2474.82
     268.304     -518.950      2630.46
     0.00000      0.00000      0.00000
     284.416     -858.799      2746.27
Skeleton 0
     0.00000      0.00000 2.12278e-314
     174.000      461.859      2190.35
     155.284      274.715      2282.92
     138.705      81.3750      2377.52
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     2.45370      285.899      2279.00
    -219.427      177.448      2339.27
     0.00000      0.00000      0.00000
    -238.164      363.422      2138.59
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     308.113      263.530      2286.84
     502.079      155.810      2354.75
     0.00000      0.00000      0.00000
     539.803      329.004      2147.35
     0.00000      0.00000      0.00000
     22.7866     -104.695      2469.57
     52.2933     -500.704      2639.02
     0.00000      0.00000      0.00000
     56.9222     -848.392      2734.10
     221.467     -119.235      2474.67
     268.044     -519.514      2629.64
     0.00000      0.00000      0.00000
     287.036     -860.663      2745.71
Skeleton 0
     0.00000      0.00000 2.12278e-314
     171.610      462.729      2190.80
     153.490      274.921      2283.15
     137.315      81.2910      2377.23
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
    0.635496      285.781      2279.23
    -219.716      177.224      2339.64
     0.00000      0.00000      0.00000
    -239.407      364.049      2138.22
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     306.344      264.060      2287.08
     502.537      155.409      2356.38
     0.00000      0.00000      0.00000
     537.253      328.378      2147.36
     0.00000      0.00000      0.00000
     21.7866     -105.279      2468.76
     50.2339     -503.565      2632.89
     0.00000      0.00000      0.00000
     52.7065     -847.167      2731.77
     220.494     -119.398      2473.86
     261.613     -521.501      2625.50
     0.00000      0.00000      0.00000
     287.248     -864.959      2750.62
Skeleton 0
     0.00000      0.00000 2.12278e-314
     170.482      463.314      2190.02
     152.150      275.527      2282.86
     135.828      82.1853      2377.51
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
   -0.694403      286.591      2279.10
    -221.356      176.111      2338.82
